ID_project;ID_tot;category;id;degree;course;ay;school;school_website;IMMAGINI;Polarità;PIAZZATO;title;subtitle;description;old_description;team;faculty;project_website;Video;Link Video;hasVideo;video_link;Column 17;
FDV_CEN_1;FDV_CEN_1;CEN;1;BA Design;Industrial Manufacturing;2024;Aalto University, School of Arts, Design and Architecture, Department of Design, Espoo, Finland;https://www.aalto.fi/en/school-of-arts-design-and-architecture;Liquo;Center / Boundaries;Y;Liquo;Filter Syringe for Dry Vaccines, Improving Vaccination Access in the Periphery;Liquo is a syringe with an integrated filter for water activated vaccines, aiming to improve vaccination access in the periphery. Unequal distribution of resources creates centers of abundance and peripheries of scarcity. The strict cold chain required for some vaccines contributes to the deepening of geographical inequalities. Freeze-dried vaccines that can be activated with water at the time and location of use help bridge that gap. The Liquo-syringe was born as an assignment to create a user-powered water filter that could be used in any kind of environment.;;Delia Aho, Elisa Kallio, Erno Hassi;Teppo Vienamo, Irina Viippola;-;YES - 0:36;https://www.youtube.com/watch?v=S3fciDvvKow;youtube;S3fciDvvKow;;
FDV_CEN_2;FDV_CEN_2;CEN;2;Bachelor Degree;;2024;Estonian Academy of Arts, Faculty of Design, Tallinn, Estonia;www.artun.ee;Visualising the state budget of Estonia;Center / Boundaries;;Visualizing the State Budget of Estonia;Accessibility to Information for a More Democratic Society;Designed in collaboration with the Estonian Ministry of Finance, this project aims to make the Estonian state budget more accessible and understandable through an interactive dashboard. Based on stakeholder interviews and an iterative design process, the project resulted in a budget visualization that makes complex financial data more accessible. The dashboard helps users easily explore how state funds are allocated, showing connections between outcome areas, activities, institutions, resources, and metrics. It promotes transparency and a deeper understanding of the budget's workings for politicians, analysts, journalists, and citizens. Making budget data more accessible, ultimately fosters more informed democratic discussion and encourages public engagement with government actions.;;Mariann Hendrikson, Helen Bender;Maarja Mõtus, Kristjan Mändmaa, Gijs Ipres;;;Video walkthrough in arrivo il 20 marzo;file;;;
FDV_CEN_3;FDV_CEN_3;CEN;3;Master's Degree Program in Design;;2024;University of Tsukuba, Graduate School of Comprehensive Human Sciences, Tsukuba, Japan;https://www.geijutsu.tsukuba.ac.jp/dpd/;Project 01;Center / Boundaries;Y;Integral Conductive Fabric;Knitting Conductive Threads: A New Material Expressions;Integral Conductive Fabric proposes the creation of knit materials using conductive threads to integrate fashion and technology. Conventionally, such garments struggle to merge fabric and mechanical components, affecting both appearance and comfort. By knitting conductive threads into fabric, the design blends electrical functionality with textile material. These threads can function as circuits or sensors. As circuits, they power LEDs when fabrics overlap, or the garment is fastened. As sensors, they light up LEDs upon skin contact, reflecting human interactions with clothing in its design.;;Tamami Sato;Suomiya Bao, Setsu Ito, Kuniko Otomo, Kyota Yamada;;YES - 1:53;https://drive.google.com/file/d/14ItAmCldbC7YtgoEsebbUxbDMPwtzlHT/view?usp=sharing;file;https://drive.google.com/file/d/14ItAmCldbC7YtgoEsebbUxbDMPwtzlHT/view?usp=sharing;;
FDV_CEN_4;FDV_CEN_4;CEN;4;MSc Architecture and Urban Design;Graduation Project;2024;Politecnico di Milano, School of Architecture, Urban Planning and Construction Engineering, Milan, Italy;https://www.auic.polimi.it/en/;Architettura_Michelotti;Center / Boundaries;Y;The Red Land of Asni Vibrates;Reconstruction Following the 2023 Marrakech-Safi Earthquake;The village of Asni is situated along an epistemological boundary where the notion of centrality contrasts with the fluidity of the border. The earthquake of September 2023 intensified the deep tension between permanence and change, between rootedness in memory and the need to redefine its future. In this context, the project of redesigning an applicable settlement model takes shape as an act of deconstruction and redefinition of spatial meaning, where the center dissolves into the fractures of the crisis, and the border emerges as a space of rewriting, where informal dwelling assumes new forms and functions, becoming a plural point of reference.;;Sara Michelotti, Vittoria Ugazio;Andrea Campioli, Letizia Dipasquale, Federica Parlato, Stefania Viti;https://www.politesi.polimi.it/handle/10589/223532;YES - 1:30;https://youtu.be/GKnOnmkuzfE;youtube;GKnOnmkuzfE;Sara Michelotti 3345643294;
FDV_CEN_5;FDV_CEN_5;CEN;5;Bachelors of Design;;2024;The Design Village, Noida, India;https://www.thedesignvillage.org/;FDV_CEN_5;Center / Boundaries;;Threshold: A Call for Action;Addressing Manual Scavengers' Exploitation;Threshold addresses the exploitation of manual scavengers, rooted in caste discrimination, poverty, and neglect. Despite its illegality, this practice persists due to interconnected issues like health risks, lack of education, and systemic bias. The project aims to amplify marginalized voices and foster collective responsibility. Leveraging stories (Vocalization), facts (Perceptions), and actionable steps (Actions) it attempts to bridge disparities through an immersive publication initiating dialogue, building empathy, and driving systemic change.;;Priya Chaudhary;Anusha Dhawan;;TROPPO LUNGO;https://youtu.be/S2VHHdcCMtY?si=JzqJcAKn2uTw5bYM;youtube;S2VHHdcCMtY;;
FDV_CEN_6;FDV_CEN_6;CEN;6;;Specializing Master in Design for Kids & Toys;2024/2025;POLI.design, Milano, Italy;https://www.polidesign.net/it/;Polidesign_Vision crafters;Center / Boundaries;;Vision Crafters;Eye Testing for Everyone!;Sight is an extremely important element for learning and development, thus it is crucial that children have eye examinations to detect any problems. Vision Crafters seeks to prevent and address visual impairments through an inclusive, accessible, and user-friendly experience. By combining hands-on activities with affordable materials, it transforms visual education into a playful and enriching journey. Vision Crafters is a DIY glasses kit paired with an app, designed to help low-income families determine if their children may need support or be at risk for visual impairment. The experience is built around an interactive and engaging learning approach that empowers users with knowledge and awareness. Being more than just a toy, but a way to ‘see’ disability as a resource and not as a limitation to society, it ensures that awareness and knowledge are not the preserve of a few but an opportunity for all.;"Sight is an extremely important element for learning and development; thus it is crucial that children have eye examinations to detect any problems. Vision Crafters seeks to prevent and address visual impairments through an inclusive, accessible, and user-friendly experience. By combining hands-on activities with affordable materials, it transforms visual education into a playful and enriching journey. Vision Crafters is a DIY glasses kit paired with an app, designed to help low-income families determine if their children may need support or be at risk for visual impairment. The experience is built around an interactive and engaging learning approach that empowers users with knowledge and awareness. Being more than just a toy, but a way to ‘see’ disability as a resource and not as a limitation to society, it ensures that awareness and knowledge are not the preserve of a few but an opportunity for all.";Nina Lunderskov, Wei Dong, Luis Munoz Zunica;Arianna Vignati, Luca Fois ;;YES - ;https://drive.google.com/drive/folders/10SPeDsWAJcepbjEMSn12kAV_j6f4sfV8?usp=drive_link ;file;https://drive.google.com/drive/folders/10SPeDsWAJcepbjEMSn12kAV_j6f4sfV8?usp=drive_link;;
FDV_ENA_1;FDV_ENA_1;ENA;1;Service Systems Design Master;Services as Interactions;2024/2025;Aalborg University, Department of Architecture, Design and Media Technology, Copenhagen, Denmark;https://www.en.aau.dk/education/master/service-systems-design ;HealTogether;Enabling / Relieving;;HealTogether;Supporting Colorectal Cancer Patients Through Post-Treatment Challenges;Life after cancer treatment can be overwhelming, with many patients struggling to manage emotional and physical side effects while adjusting to a new reality. HealTogether is a personalized support app designed to relieve patients of this emotional and physical distress while enabling them to regain control of their lives with confidence. It offers a step-by-step pathway with an emotional and physical self-tracker, providing tailored guidance. Through collective peer-to-peer support, it fosters a sense of belonging and validation.;;Blom van der Toom, Emily Brophy, Erika Strazio, Martina Stüssi;Hadas Zohar;;;;;;;
FDV_ENA_10;FDV_ENA_10;ENA;10;MSc Digital & Interaction Design;Final Design Studio ;2023/2024;Politecnico di Milano, School of Design, Milan, Italy;www.digitalinteractiondesign.polimi.it;22_Lumya;Enabling / Relieving;;Lumya;Enabling Hearing-Impaired People to Cycle Confidently;Cycling safety remains a major challenge for the hearing impaired, limiting their ability to detect critical auditory cues such as horns, sirens, and approaching and overtaking vehicles. Lumya addresses the absence of accessible safety devices tailored to hearing impaired needs by delivering real-time visual and haptic alerts, thus ensuring environmental awareness while cycling. Integrating a display, wristbands, a Lidar sensor, and microphones, the system detects potential hazards – empowering users to safely engage in an activity they currently can’t or are too afraid to experience.;;Valentina Callegari, Elena Dolcino, Valerio Libardo, Xiangqi Huang, Anna Sokolova, Lea Zucker;Marco Ajovalasit, Mariana Ciancia, Mattia Gianotti;https://readymag.com/4537284;;;;;;
FDV_ENA_11;FDV_ENA_11;ENA;11;MSc Integrated Product Design;Product Development Studio (IP1);2023/2024;Politecnico di Milano, School of Design, Milan, Italy;www.productdesign.polimi.it/laurea-magistrale;17_Ostokit;Enabling / Relieving;Y;OstoKit;A 3D Printed Patch for Colostomy Patients;OstoKit addresses the lack of aesthetics in colostomy devices with a personalized, reusable patch and a 3D-scan subscription service. Prioritizing comfort, customization, and responsible consumption, it reduces stigmatization while enhancing user experience, inclusivity and disability pride, especially in sexual and fitness contexts.;;Esteban Clisson, Alida Gazzotti, Alice Salis;Francesco Zurlo, Barbara Del Curto, Alessandro Perrone;https://ifdesign.com/en/winner-ranking/project/ostokit/662799;YES - 0:36;https://www.youtube.com/watch?v=ST2o69LzwM4&t=3s;youtube;ST2o69LzwM4;;
FDV_ENA_12;FDV_ENA_12;ENA;12;BSc Product Design;Industrial Design Studio - Sect. 1;2023/2024;Politecnico di Milano, School of Design, Milan, Italy;www.productdesign.polimi.it/laurea-triennale/;Project 09;Enabling / Relieving;Y;WATERQUAKE;A Lifeline for Earthquake Survivals;Waterquake is a first aid kit designed to help rescuers deliver water to earthquake victims trapped under rubble. As dehydration and crush syndrome are the primary causes of death in such situations, the kit ensures an intuitive, immediate water supply, addressing critical survival needs. It is tailored for targeted but increasingly frequent emergencies, from urban centers to periphery.;;Valeria Balestrini, Riccardo Corrada, Andrea Florian, Samuele Sapio, Silvia Spirito;Matteo Oreste Ingaramo, Lucia Rampino, Fabio Antonio Figoli;;;;;;Samuele Sapio 3667300611;
FDV_ENA_2;FDV_ENA_2;ENA;2;Bachelor's Degree - Assistant Designer in Sustainable Innovation;Major Project;2024;BESIGN The Sustainable Design School, Nice, France;https://besignschool.com/;Paws-ability;Enabling / Relieving;Y;PAWS-ABILITY;An affordable, Sustainable, AI-driven Prosthetics Empowering Pets and Supporting Owners;PAWS-ABILITY tackles the challenge of creating an affordable, sustainable, and smart dog prosthetic to optimize post-surgical recovery, simplify production, and support owners facing new responsibilities and emotions. Using AI, an app scans the pet, generates a CAD model, and employs additive manufacturing for a tailored prosthetic, while a vital sensor provides live health feedback, aiding decision-making and recovery. Sustainability is ensured with recyclable materials, replaceable parts, and reduced CO2 emissions through streamlined processes and minimized transportation.;;Elizabeth Nazarova;Julien Chartier;;;;;;;
FDV_ENA_3;FDV_ENA_3;ENA;3;MSc Integrated Product Design;Final Synthesis Studio - Sect. 2;2023/2024;Politecnico di Milano, School of Design, Milan, Italy;www.productdesign.polimi.it/laurea-magistrale;34_SIMMi;Enabling / Relieving;;Simmi;Automating Tasks While Preserving the Essence of Cooking;Designed for younger generations who enjoy good food but lack time or space, Simmi is a kitchen mixer that simplifies long cooking tasks while preserving the essence of traditional cooking. Collaborating with AI to automate time-consuming processes, it allows users to focus on creativity and connection with food, redefining the boundary between manual and automated cooking and ultimately enhancing both the process and outcome.;;Paolo Massacci;Venanzio Arquilla, Emanuele Magini, Innocenzo Rifino, Maximiliano Ernesto Romero, Emmanuele Villani;https://www.adi-design.org/2024_z00543;;;;;;
FDV_ENA_4;FDV_ENA_4;ENA;4;BA (Hons) Industrial Design;;2024;University of Johannesburg, Faculty of Art, Design and Architecture (FADA), Johannesburg, South Africa;https://www.uj.ac.za;Cove;Enabling / Relieving;;Cove;Human-Centered Design of a Non-Medical Intervention for Children with ADHD;This project addresses the need for holistic, tangible tools that help children with ADHD establish and maintain routines while enabling caregivers to monitor and adjust treatment strategies effectively. The Cove system comprises three interconnected components: a physical routine planner with activity pebbles, a wearable reminder device, and an app, which work together to empower neurodivergent children by providing a structured framework that helps them manage their routines, regulate their emotions, simplify tracking and deal with daily activities, while also enhancing communication among parents, teachers, and therapists.;;Anya Erasmus;Ashton Moseley;;;;;;;
FDV_ENA_5;FDV_ENA_5;ENA;5;Bachelors Ddegree in Graphic Design;Graduation Project;2024;Latvian Art Academy, Design Department, Riga, Latvia;https://dizains.lma.lv/en;Raižplēsis;Enabling / Relieving;;Raižplēsis;Empwering Children To Overcome Medical Fears Through Stories and Play;Raižplēsis is a website with simple, easy-to-understand content designed for kids of different ages and abilities. It was born out of the intent to help children feel less scared about medical procedures while involving parents in the process. Through fun stories, games, and a friendly character, it helps children learn about medicine in a way that feels safe and playful. Parents are part of the journey too, making it a shared experience that brings comfort and understanding to families facing medical challenges.;;Jānis Kokarevičs, Elīna Pavlova;Maija Rozenfelde, Markus Rožkalns;https://drive.google.com/file/d/1ge3jiV6JzqOfRjiKRl7Fjk5NjAZ-jx2h/view?usp=sharing;YES - 1:53;https://drive.google.com/file/d/1ge3jiV6JzqOfRjiKRl7Fjk5NjAZ-jx2h/view?usp=sharing;file;https://drive.google.com/file/d/1ge3jiV6JzqOfRjiKRl7Fjk5NjAZ-jx2h/view?usp=sharing;;
FDV_ENA_6;FDV_ENA_6;ENA;6;Bachelor's Degree;Product and Innovation Design;2024;Pontifícia Universidade Católica - PUC Rio, Departamento de Artes e Design (DAD), Rio de Janeiro, Brasil;https://www.puc-rio.br/index.html;Project 01;Enabling / Relieving;;Balancê;Body Extensions, Identity Expression, and Well-Being of the Elderly;The Balancê walking support was created for elders who seek a more elegant and personalized alternative to traditional canes, which often fail to represent their identity. By integrating biomimicry and emotional design, it offers a natural, balanced gait while breaking the stigma associated with mobility aids. The project reimagines assistive devices as tools for dignity and self-expression, harmonizing practicality and individuality, redefining the relationship between users and the objects they rely on.;;Bruna Chambarelli Wolter;Augusto Seibel, Cláudia Kayat, Gabriella Vaccari;;YES - 0:47;https://drive.google.com/file/d/1HeiMjd7054_ESlKMDdKXpFyY8j9az25v/view?usp=sharing;file;https://drive.google.com/file/d/1HeiMjd7054_ESlKMDdKXpFyY8j9az25v/view?usp=sharing;;
FDV_ENA_7;FDV_ENA_7;ENA;7;BA (Hons) Industrial Design;;2024;University of Johannesburg, Faculty of Art, Design and Architecture (FADA), Johannesburg, South Africa;https://www.uj.ac.za;PillEase;Enabling / Relieving;;PillEase;Enhancing Medication Accessibility and Independence;PillEase is a multifunctional device designed to assist individuals with limited hand strength, including the elderly and those with conditions such as arthritis and Parkinson’s disease, in opening child-resistant pill bottles. Its ergonomic design minimizes hand strain, while an integrated pill cutter allows for precise dosage adjustments. Additionally, a built-in storage compartment provides convenient pill organisation. By addressing common challenges in medication management, PillEase enhances accessibility and ease of use in daily routines.;;Bongeka Buthelezi;Ashton Moseley;;;;;;;
FDV_ENA_8;FDV_ENA_8;ENA;8;MFA Advanced Product Design;Graduation Project;2024;Umeå Institute of Design, Umeå, Sweden;https://www.umu.se/en/umea-institute-of-design/;PAL;Enabling / Relieving;;PAL;Hybrid Arm Prosthetics;Amputees are often excluded and isolated due to bodily limitations and societal stigma. Prostheses can help them to live more independent, healthy and active lives and lets them be part of the society with lesser limitations. However, access to these devices is extremely limited, and even when they are accessible, prostheses are often not well accepted. The industry today focuses on high-tech products, while simpler, more affordable solutions are being mostly neglected. PAL focuses on ways to improve accessibility, functionality and acceptance. Designed in close collaboration with users, stakeholders and the company Agile Robots, the product combines advantages of both electric and mechanical prostheses in a low-cost, open-source and 3D-printable design. It allows for ergonomical, functional and aesthetic customization based on the users’ individual needs and desires.;;Heinrich Zaunschirm;Thomas Degn;https://www.umu.se/en/umea-institute-of-design/education/student-work/masters-programme-in-advanced-product-design/2024/heinrich-zaunschirm/;YES - 1:24;https://play.mediaflow.com/ovp/16/83LEUQ61UO;file;https://play.mediaflow.com/ovp/16/83LEUQ61UO;;
FDV_ENA_9;FDV_ENA_9;ENA;9;Master Design;Dissertation;2023/2024;University of Aveiro, Department of Communication and Art, Aveiro, Portugal;https://www.ua.pt/en/deca ;Sentimental information;Enabling / Relieving;;Sentimental Information;Designing Sentimental Information for Meaningful Connections;In an environment where access to information or data is increasingly easy, there are new challenges in finding quality information that is of interest to us. Today, the amount of information we have access to exceeds our capacity to absorb it, and our personal interest is what helps us keep abreast of this information, filtering it down to what is important to retain. Information is a driving force in the evolution of knowledge, which is why it is important to understand mechanisms that qualify its consumption. Against this backdrop, Sentimental Information arose an interest in the expressive register, and how it can be present in information design cohabiting with a technical dimension. Expression is also intrinsically present in design and offers clues for reflection on the challenges of information overload and interest.;;Rosa Bateira;Rui Costa;;;;;;;
FDV_FEW_1;FDV_FEW_1;FEW;1;Bachelor's Degree;Social Design Studio;2023/2024;Academy of Fine Arts in Warsaw, Faculty of Design, Warsaw, Poland;https://asp.waw.pl/;Project 02;For-Few / For-All;;Sensory Jewelry;Safe Tool for Emotional Regulation of Neurodivergent People;The Sensory Jewelry project is a response to the needs and adaptation mechanisms of neurodivergent people. It aims to provide a safe and discreet tool that supports emotional regulation for people with impaired sensory integration. Although society is becoming more compassionate towards individuals who go beyond broadly understood social norms, stigmatization is still a significant issue. Inclusive design is crucial not only to improving the lives of the few, but also sensitizing others to the challenges they face, allowing for society to reconnect and create a better environment for all.;;Michalina Wróblewska;Michał Stefanowski;;;;;;;
FDV_FEW_2;FDV_FEW_2;FEW;2;Bachelor of Science, Design + Environmental Analysis;Magnifying Small Spaces Studio;2024/2025 ;Cornell University, College of Human Ecology, Department of Human Centered Design, Ithaca, NY, United States of America;https://www.human.cornell.edu/hcd;Project 02;For-Few / For-All;;Space for Others;Intuitive Grammars for Inclusive Space-Making;Space for Others is an interdisciplinary design research studio exploring the dynamics of co-creating spaces, focusing on the balance of individual agency and collective collaboration. The project uses aggregate building systems and intuitive assembly grammars to explore this dichotomy. Through computational modeling, digital fabrication, and participatory play scenarios, the studio developed toy-scale, 3D printed prototypes for collaborative studies. These experiments consequently informed a full-scale kit, now tested in public play workshops to refine approaches to inclusivity, accessibility, and shared authorship.;;Riya Verma, Kalven Owen, Tioluwani Fabunmi, Keira Huffman, Andrea Porubcin, Iason Diogenous, Chloe Jung, Alice Huiwen Ho;Leighton Beaman;https://www.materialpropositions.org/space-for-others;A video can be produced to so assembly.;;;;;
